path,ext,width_px,height_px,feature,sha1
handwriting.ini,.ini,,,handwriting,43929c647f4cf8efe5928cf690afda25c4d00ab2
hl.png,.png,128,128,,5b3b7735d9da1ca255482b73e63b0947beb11fff
icon_add@2x.png,.png,48,48,,cab162fd3ecc144e1e8d07d8fc71ebd70514110c
icon_add@3x.png,.png,72,72,,699dc32a9d12788dd82caba2a367c100f1fb42ec
icon_ai_navbar_add@2x.png,.png,40,40,ai,916dd295ca2af253b3060678eecf2f45b5d30565
icon_ai_navbar_add@3x.png,.png,60,60,ai,ff677503e07774ff00a5a08baadb2858be7ff785
icon_ai_navbar_close@2x.png,.png,40,40,ai,7004601d88fdb22e3e38675dc039ed95e5a7daa2
icon_ai_navbar_close@3x.png,.png,60,60,ai,e5f6d14f2989781e416c1a80ffe83469a6491f5f
icon_ai_navbar_save@2x.png,.png,40,40,ai,b63540f96597e7b970a4584ae00cfc7c722863d7
icon_ai_navbar_save@3x.png,.png,60,60,ai,7c21634508dc68e915687516e966d3609763e2a6
icon_ai_navbar_share@2x.png,.png,40,40,ai,f6731dc8ce5c40f5d76d6ba4d388b91c2d776ef3
icon_ai_navbar_share@3x.png,.png,60,60,ai,e409f0d1adc0bff1c2841dba9138d2c9d6f5d995
icon_ai_navbar_toolbox@2x.png,.png,40,40,ai,c845ad4798da0fcc97999b36ae550e703e6d4fe8
icon_ai_navbar_toolbox@3x.png,.png,60,60,ai,e18d464178dd8aa3ff5595364589027de356d746
icon_ai_tips_arrow@2x.png,.png,18,24,ai,20733c796bd9f9e1869a29f8dda90262a8146881
icon_ai_tips_arrow@3x.png,.png,27,36,ai,56527b53fa39a726c9009f15873f8cdbae6e0e8b
icon_ai_tool_ai_40@2x.png,.png,80,80,ai,786b7e5e5225bb6e4b34803b3376c0484540b68a
icon_ai_tool_ai_40@3x.png,.png,120,120,ai,b8c12a80a59f0e0dc825bcdb99a2f703d02ba68b
icon_ai_tool_copywriting_40@2x.png,.png,80,80,ai,0db6aa8224149f3eb414c3bbde2fe2482825d7c5
icon_ai_tool_copywriting_40@3x.png,.png,120,120,ai,3d603f434f3b131d7d42b1ad246597709bc2bafc
icon_ai_tool_customized_40@2x.png,.png,80,80,ai,d043031ace6c1bf3d4678e5dba6cab07cf0f2327
icon_ai_tool_customized_40@3x.png,.png,120,120,ai,66486cece30d54d20e78b981cc6f0a0cd8608969
icon_ai_tool_optimize_40@2x.png,.png,80,80,ai,8078ebd199817efbcb04ff59f568fc42d01186cc
icon_ai_tool_optimize_40@3x.png,.png,120,120,ai,1da06d7d25a63da7275c8824c746e7aba3988f68
icon_ai_tool_translate_40@2x.png,.png,80,80,ai,0ee1dc29ed7ef2bb422b50c02f47fb6fca21c92a
icon_ai_tool_translate_40@3x.png,.png,120,120,ai,bd3f1176e74aefb07a6c2de665a5d792f0098e00
icon_alert_success@2x.png,.png,32,32,,ae3bd4023a9a0e393b9270bd0bfd9a6ac3d0b1de
icon_alert_success@3x.png,.png,48,48,,1d5abf975f1ce8b4f66d01490d131551b9544d00
icon_alone_ci@2x.png,.png,48,48,,67a3be90d6eeac731f8c3bb44f56d66f73c7e4a0
icon_alone_ci@3x.png,.png,72,72,,6982df8377c056a699d0d4d36bb3bce6a129c882
icon_arrow@2x.png,.png,12,20,,18756d8e4f596d7c8693de7eb09b0f53854d16d7
icon_arrow@3x.png,.png,18,30,,50d26154598e0554263bb4e91d119f7c24ee0d9c
icon_ask_ai@2x.png,.png,48,48,ai,50337bebacd39787f231652adbb72d43488ce076
icon_ask_ai@3x.png,.png,72,72,ai,5efd1dc32a5d97444d1aa880310b6dbb868cb75a
icon_ask_ai_send@2x.png,.png,56,56,ai,ba8db19c646c0266fc73de7a3143a5c77881e96b
icon_ask_ai_send@3x.png,.png,84,84,ai,e256ccf333a5f446dbfb3fbd770a5bf2d3338cbb
icon_bar_ai@2x.png,.png,48,48,,1a5e281645288c80dcf5b60fd7b615e11b58193d
icon_bar_ai@3x.png,.png,72,72,,9d3f162557c8b28ad03e9b0aa888d95b31b7336f
icon_bar_ai_24@2x.png,.png,48,48,ai,8d7750c974ef95896624aacfde7311edb69a2713
icon_bar_ai_24@3x.png,.png,72,72,ai,f527a7ef19f6872a92e1040d052b076d7bd736f9
icon_bar_arrow@2x.png,.png,16,24,,3d0fcf220cb3ec7c5629d3856c48e3238303f18f
icon_bar_arrow@3x.png,.png,24,36,,4c5318650b0745a031a4e50f0cdb57197293302a
icon_bar_askai@2x.png,.png,84,52,ai,8c6c7b86d9ac3a09ebe4b6ddf138b17e701749cd
icon_bar_askai@3x.png,.png,126,78,ai,d13df89defaddb726b5b8959780b67b1adb38dae
icon_bar_black@2x.png,.png,88,88,,5ca5387b3e7844dcee88e04116cb7482ee95eef7
icon_bar_black@3x.png,.png,132,132,,b1a472dbefe7c9400d056b280979ecaae8149a4b
icon_bar_changyongyu_24@2x.png,.png,48,48,,0c0a828944b8b7ef17b0e97647480706aeabbf0c
icon_bar_changyongyu_24@3x.png,.png,72,72,,7b7255e5c9a606b29f22af5e78914f417c9357d0
icon_bar_combined@2x.png,.png,44,44,,5f3309d61cee3822e5b38e18de01c416bb280d75
icon_bar_combined@3x.png,.png,66,66,,eb2a25b57921669309771d6d350ca188620aed92
icon_bar_copy@2x.png,.png,56,56,,20306cbdac10aaf1cdc2182e0d0e972a6621d863
icon_bar_copy@3x.png,.png,84,84,,41367bcc9dd0da9d7f38404efb31e50dc028c0e6
icon_bar_copy_24@2x.png,.png,48,48,,5b63372321d5fe755d4a92225c90dd97c208c0d5
icon_bar_copy_24@3x.png,.png,72,72,,7c01c9c9e3eec1a3113ff468a86ef7a51bb48bf6
icon_bar_copy_26@2x.png,.png,52,52,,1116b2a76f2071977bfd73cffde70614a7ea1b60
icon_bar_copy_26@3x.png,.png,78,78,,217ac2eb6c000871789c889a8beaf6c12461f838
icon_bar_correction_24@2x.png,.png,48,48,correction,f3c386a473ee3389360fd227e34fa026b7e10a8b
icon_bar_correction_24@3x.png,.png,72,72,correction,5b1371b05c2cae34c711fcf68f3871bb4baec727
icon_bar_device_sync@2x.png,.png,32,32,transfer,1b90caecefbfe517a73c94afe1d9f3bc8bf9033e
icon_bar_device_sync@3x.png,.png,48,48,transfer,f689b6e4d86316209f6270a6a7e7bd36ad94907d
icon_bar_drawing@2x.png,.png,52,52,handwriting,7fdd7bef2fd6e33818a44af2f04278526a6f842e
icon_bar_drawing@3x.png,.png,78,78,handwriting,08c987f3eab264e16451bccc74d6a84afd173034
icon_bar_drop@2x.png,.png,48,48,,ec7313be9f21ef32592a26093e14c7f5da55fa28
icon_bar_drop@3x.png,.png,72,72,,41ecf53d99aedcabc9ac7c4a01b10a32a33e5325
icon_bar_drop_24@2x.png,.png,48,48,,233dca3ba9783cc1161f7185df8ca364f614f21a
icon_bar_drop_24@3x.png,.png,72,72,,b5d904912c284ba6ca5318b59f560e032845ae64
icon_bar_emoji_24@2x.png,.png,48,48,emoji,b6a9cb3e342e3cb6fa2de11ab60dd24347e97c9b
icon_bar_emoji_24@3x.png,.png,72,72,emoji,ecfa4d53291b855cddb579b0c4a6989aa14af8a6
icon_bar_enlarge_24@2x.png,.png,48,48,,9d13fdfea50f7120467061cd582aab3d8433c04d
icon_bar_enlarge_24@3x.png,.png,72,72,,83a5ce6ebb0ee901ef980e7b528791622960e2b0
icon_bar_equipment_24@2x.png,.png,48,48,,a4fc5d8a767632f0d5ea6ee57490e9941c7dd411
icon_bar_equipment_24@3x.png,.png,72,72,,42624ae0816ecc59a23771ca4dec5d65459c3301
icon_bar_fan_24@2x.png,.png,48,48,,99a8efd50f9b4458f9f62249b60fb497ecf82489
icon_bar_fan_24@3x.png,.png,72,72,,8d9b7f5fd2b03095fb455f85b3a0e862890865f1
icon_bar_handedly_24@2x.png,.png,48,48,,96e3ce2523e7e861762b9ae2f19cb5820bfb7c77
icon_bar_handedly_24@3x.png,.png,72,72,,146d454eb40a10ae21047426beea4c595c69a386
icon_bar_intelligence@2x.png,.png,52,52,,6a5544baccdc09c9b21713eec6299a471125ab20
icon_bar_intelligence@3x.png,.png,78,78,,4041084d402fb67621224b3aeb600e157e059214
icon_bar_jian_24@2x.png,.png,48,48,,4a242a03750f4be030d0c06638fa415c28b5ddc8
icon_bar_jian_24@3x.png,.png,72,72,,4d279c8211cf5ac69f93fa59db5b9b6603b191b8
icon_bar_keyboard_24@2x.png,.png,48,48,keyboard,d29254d723f4e180bca21620e6bb6d83364ac470
icon_bar_keyboard_24@3x.png,.png,72,72,keyboard,d92b90ee6a7184ae7ec25d759c9f0770c036b2ac
icon_bar_pc_download@2x.png,.png,32,32,,4eb6a32cf4cc97ba320a5e838b6a1313f8106b67
icon_bar_pc_download@3x.png,.png,48,48,,3d74227032b749eb487fc3b15bbd660349f2c456
icon_bar_picture@2x.png,.png,68,68,,1ca481de1681c4482ebfedecc7f9d5a0dc369af7
icon_bar_picture@3x.png,.png,102,102,,56ee748e9b6bb09eefa9917ded472b89a3fdd9f3
icon_bar_picture_20@2x.png,.png,40,40,,d6e90a3a02d99ae2e3750554d66362f4b946b12a
icon_bar_picture_20@3x.png,.png,60,60,,2bc121ccb4ed331b70da209e70b9186d91f253c2
icon_bar_picture_24@2x.png,.png,48,48,,d133fad773e090d2bb2988f0e1b1bc627fe71fd5
icon_bar_picture_24@3x.png,.png,72,72,,27cd00c4b10c368df09916f63bb36d7edbb765fe
icon_bar_picture_26@2x.png,.png,52,52,,2cad11b04c3948b205c566889be4dd6a39db0345
icon_bar_picture_26@3x.png,.png,78,78,,3feb22d4efd5647ed02b06214f3257b4288f4c46
icon_bar_polish@2x.png,.png,52,52,,b4c2d1fcbaa35fa22b740ef073b7b5a38a14e730
icon_bar_polish@3x.png,.png,78,78,,fd3c4cdbbdb06cf7a30527c03aa7b95b932e663d
icon_bar_poster_24@2x.png,.png,48,48,,0fa8bb56a60e74e2762a5f6d3285198090199386
icon_bar_poster_24@3x.png,.png,72,72,,84d37402685a77d7e04c5ecb4ef89b98e3612306
icon_bar_quicksend_24@2x.png,.png,48,48,transfer,ffaa0c643aadde1972cfd19352f72278d4b4a13b
icon_bar_quicksend_24@3x.png,.png,72,72,transfer,fed4ae09691337423f857c3d38a0398681c14996
icon_bar_recall_24@2x.png,.png,48,48,,d2dcc0544ad99923b722d94d23bbb1bdff4a8dae
icon_bar_recall_24@3x.png,.png,72,72,,13e9d81f42f9891b239c446ebeae85e43c143acc
icon_bar_renew@2x.png,.png,32,32,,e1df85b856cc35f44f1130db4104f9bbb3998a0d
icon_bar_renew@3x.png,.png,48,48,,5cdbe62783ce22235ca6d306ab7b2f34b479a169
icon_bar_retouching_24@2x.png,.png,48,48,,f520e10d92c691dcd3fc4d43ae056dbc5c8609e1
icon_bar_retouching_24@3x.png,.png,72,72,,bf5b43d9cd6dce588403474ea7eec7265518476f
icon_bar_retouching_44@2x.png,.png,88,88,,2aefd5e3a19884619b9fa2e82ed0bfbe7dffc1f2
icon_bar_retouching_44@3x.png,.png,132,132,,4de5b4fe1e2466b608d4335a78ac4e346ce32826
icon_bar_sendout@2x.png,.png,68,68,,20900ff651bd6681571aae07b510dc1c2765a029
icon_bar_sendout@3x.png,.png,102,102,,ed73534c8e8ace33db8ace774fc2fe4ed495571b
icon_bar_separate@2x.png,.png,44,44,,aebc6401bd0a2d0f9e527f8e767f9edaf66157ec
icon_bar_separate@3x.png,.png,66,66,,cf4e76217ca854021686334a698eaeee5deeec9e
icon_bar_standalone_dict_update@2x.png,.png,39,39,,85736144ea7b396a952b3e7cefc48f33933f85f2
icon_bar_standalone_dict_update@3x.png,.png,58,58,,a7440df2346f5329916cb9c34146357b10443041
icon_bar_switch_24@2x.png,.png,48,48,,37894badd958ca0a58862f2fe9ba2c1717a21a53
icon_bar_switch_24@3x.png,.png,72,72,,770f742ea66ca5589770b15bed3f95bd87201436
icon_bar_text_polish_24@2x.png,.png,48,48,,59cd5cff39bc8b15707c84fb3f869759fa1dea74
icon_bar_text_polish_24@3x.png,.png,72,72,,0d42db8c0e84e8def0d12b2c5698919860e6e693
icon_bar_time_24@2x.png,.png,48,48,,76ae2a1855f687b364e64763e421e4d8cc6617c5
icon_bar_time_24@3x.png,.png,72,72,,04f611a725a19e66737737fd33fd0e84c6edaffd
icon_bar_translate_24@2x.png,.png,48,48,translate,4f517c1300014ee8c657cf57afb939bd72187058
icon_bar_translate_24@3x.png,.png,72,72,translate,31d32a2a5e353ad7e3e78413513f0caebdc982b4
icon_bar_transmission_24@2x.png,.png,48,48,,10241f9c0cec45b968eabb0a4ccc2762ac75e2ff
icon_bar_transmission_24@3x.png,.png,72,72,,fe1063bd82d53e801baa943a0a7c5a017ab5054b
